"id","socname","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v204","v20","v820","v200","v201"
71,"Burmese",5,5,5,4,5,4,5,5,5,5,0,2,7,3,9
72,"Lamet",1,3,4,2,1,1,2,1,2,2,2,2,6,3,0
73,"Vietnamese",5,5,5,4,5,5,3,5,5,5,0,2,7,3,0
74,"Rhade",1,4,4,4,3,1,3,5,2,2,1,1,6,3,0
75,"Khmer",3,5,5,5,5,4,5,4,5,5,0,NA,7,3,0
76,"Siamese",5,5,5,5,5,5,5,5,5,5,0,2,7,3,0
77,"Semang",1,1,2,1,1,1,1,1,2,1,3,1,1,3,0
78,"Nicobarese",2,5,4,3,4,1,1,4,2,1,1,2,6,3,8
79,"Andamanese",1,2,1,1,2,1,1,2,2,1,2,1,3,3,8
80,"Vedda",2,2,2,1,2,1,3,1,1,1,3,2,2,3,8
81,"Tanala",1,3,5,3,4,1,1,2,3,4,0,2,7,3,8
82,"Negri Sembilan",5,5,5,5,4,4,5,5,4,3,0,2,7,3,0
83,"Javanese",5,5,5,4,5,5,5,5,5,5,0,5,7,4,2
84,"Balinese",5,5,5,4,5,5,5,5,4,5,0,3,7,4,2
85,"Iban",1,4,4,1,4,1,1,3,2,2,0,2,6,4,2
86,"Badjau",1,1,2,3,1,1,1,1,2,2,0,2,3,4,1
87,"Toradja",2,5,4,2,4,1,2,3,3,2,2,2,6,4,3
88,"Tobelorese",2,5,4,3,4,1,3,3,4,2,1,2,6,4,3
89,"Alorese",2,5,4,2,1,1,4,5,4,2,0,2,6,4,3
90,"Tiwi",2,1,1,2,1,1,1,1,1,1,3,1,1,4,4
91,"Aranda",3,1,1,1,1,1,1,1,2,1,4,1,2,4,4
92,"Orokaiva",1,5,4,1,2,1,1,2,2,1,1,2,6,4,5
93,"Kimam",1,5,5,4,1,1,1,1,2,1,1,2,7,4,5
94,"Kapauku",2,5,4,2,1,1,4,5,3,2,1,2,6,4,5
95,"Kwoma",2,5,4,3,2,1,4,4,2,1,2,2,6,4,5
96,"Manus",2,5,1,3,2,1,4,4,2,2,0,1,8,4,7
97,"New Ireland",2,5,4,3,1,1,4,3,2,1,1,1,4,4,7
98,"Trobrianders",1,5,4,2,2,1,1,4,3,3,0,3,6,4,7
99,"Siuai",2,5,4,1,2,1,4,4,2,2,1,2,6,4,7
100,"Tikopia",1,5,4,4,1,1,1,5,3,3,0,2,6,4,9
101,"Pentecost",1,5,4,1,1,1,3,3,2,2,0,2,6,4,8
102,"Mbau Fijians",1,5,3,5,2,1,4,5,4,2,0,2,3,4,8
103,"Ajie",2,5,5,1,2,1,4,2,3,1,0,2,7,4,8
104,"Maori",3,5,4,2,1,1,1,1,3,3,1,2,4,4,0
105,"Marquesans",3,5,4,2,1,1,1,4,3,3,0,3,6,4,0
